letter,frequency,percent
А,18344148,22.8487
Ы,6089899,7.5853
И,5737216,7.146
Ә,4537145,5.6513
Р,4113409,5.1235
Н,2993992,3.7292
У,2631281,3.2774
Ь,2451925,3.054
Х,2389243,2.9759
З,2340825,2.9156
Л,2077551,2.5877
С,1961387,2.443
Ш,1960294,2.4417
Е,1731714,2.157
М,1676489,2.0882
Г,1658255,2.0655
Т,1637088,2.0391
Д,1459847,1.8183
О,1413848,1.761
К,1364089,1.6991
Ҳ,1320443,1.6447
Ҭ,1235126,1.5384
Б,1132452,1.4105
Ԥ,1053907,1.3127
Ц,969089,1.2071
Қ,860817,1.0722
Ҵ,779618,0.9711
Ҟ,777170,0.968
Ӡ,583806,0.7272
П,582454,0.7255
Ҩ,542917,0.6762
Ж,522867,0.6513
Ҿ,352635,0.4392
Ӷ,194452,0.2422
Ч,178824,0.2227
Ҽ,173200,0.2157
Џ,145737,0.1815
Ҷ,128651,0.1602
В,92840,0.1156
Ф,88606,0.1104
