letter,frequency,percent
А,28416,22.8901
Ы,10025,8.0755
И,8922,7.187
Ә,6891,5.5509
Р,5647,4.5489
Н,5538,4.4611
Х,4147,3.3406
У,4129,3.3261
Ь,3961,3.1907
Л,3400,2.7388
З,3188,2.568
Ш,3088,2.4875
С,2713,2.1854
Д,2646,2.1314
Е,2514,2.0251
М,2493,2.0082
Г,2381,1.918
Т,2335,1.8809
К,2110,1.6997
О,1954,1.574
Ҭ,1871,1.5072
Б,1749,1.4089
Ҳ,1627,1.3106
Ԥ,1600,1.2889
Ц,1407,1.1334
Қ,1306,1.052
Ҟ,1275,1.0271
Ҵ,1215,0.9787
Ӡ,978,0.7878
Ҩ,946,0.762
Ж,850,0.6847
П,712,0.5735
Ҿ,572,0.4608
Ч,359,0.2892
Ӷ,299,0.2409
Ҽ,290,0.2336
Џ,225,0.1812
Ҷ,191,0.1539
В,95,0.0765
Ф,76,0.0612
