letter,frequency,percent
Э,1240359,15.998885
Ы,680880,8.782394
А,519789,6.704546
У,421778,5.440342
Р,401485,5.178591
М,355877,4.590312
ГЪ,313187,4.039671
И,300324,3.873757
Х,250366,3.229369
Т,249016,3.211956
О,241311,3.112572
Н,234464,3.024256
З,195040,2.515741
Е,187236,2.415081
С,177050,2.283696
КӀ,164343,2.119793
П,163161,2.104547
КЪ,155611,2.007163
Д,145175,1.872553
Щ,144162,1.859487
Ф,117494,1.515507
Ӏ,102438,1.321306
Л,92966,1.199131
ХЬ,83032,1.070996
Б,80892,1.043393
ЛЪ,80446,1.037640
Г,79623,1.027025
ШӀ,64169,0.827690
К,63584,0.820144
ХЪ,51313,0.661865
ШЪ,49888,0.643485
ЖЬ,47189,0.608672
Ж,39529,0.509868
Я,38872,0.501394
Ш,33919,0.437507
В,31165,0.401985
Ч,27801,0.358594
Ц,23414,0.302008
ПӀ,19665,0.253651
ЦӀ,18188,0.234600
Й,15330,0.197735
ЛӀ,13138,0.169462
ЧӀ,11861,0.152990
ЖЪ,11443,0.147599
ТӀ,11282,0.145522
Ю,3529,0.045519
