letter,frequency,percent
А,254006,19.4071
И,130455,9.9673
Р,94871,7.2485
У,85510,6.5333
Н,82577,6.3092
Е,73535,5.6184
С,51694,3.9496
Д,46368,3.5427
Л,43646,3.3347
В,33725,2.5767
М,32600,2.4908
Й,27511,2.102
Б,24617,1.8808
К,22308,1.7044
Я,18790,1.4356
Т,18406,1.4063
КЬ,16027,1.2245
Г,15833,1.2097
ХЬ,14904,1.1387
Ч,14896,1.1381
ТТ,14790,1.13
Х,14662,1.1202
Ф,14028,1.0718
Ш,13998,1.0695
ГЪ,12373,0.9453
ГЬ,11659,0.8908
ХЪ,11289,0.8625
З,11249,0.8595
О,9771,0.7465
ХӀ,9572,0.7313
П,9487,0.7248
Ъ,7432,0.5678
Ӏ,7249,0.5539
ДЖ,6511,0.4975
ГӀ,6477,0.4949
КӀ,6347,0.4849
КК,5867,0.4483
УЬ,4830,0.369
Э,4820,0.3683
ПП,4318,0.3299
ЦӀ,3428,0.2619
ЧӀ,3144,0.2402
КЪ,3002,0.2294
Ц,2715,0.2074
ТӀ,2160,0.165
Ь,2024,0.1546
Ы,991,0.0757
Ж,749,0.0572
ЧЧ,670,0.0512
Ю,650,0.0497
Щ,248,0.0189
Ё,26,0.002
ПӀ,14,0.0011
