letter,frequency,percent
А,1598685,11.7993
Е,951050,7.0194
Р,904773,6.6778
Н,869527,6.4177
И,775531,5.7239
Ы,768414,5.6714
Л,752632,5.5549
Т,741007,5.4691
К,724109,5.3444
О,716857,5.2909
Д,576943,4.2582
У,484797,3.5781
Б,366153,2.7024
С,353712,2.6106
Г,345781,2.5521
Й,288976,2.1328
Ҥ,268216,1.9796
М,268068,1.9785
П,263153,1.9422
Ч,219073,1.6169
Ј,187289,1.3823
З,181455,1.3393
Ӱ,181193,1.3373
Ӧ,169105,1.2481
Ш,144024,1.063
В,112729,0.832
Э,90618,0.6688
Ж,82067,0.6057
Я,51648,0.3812
Ь,26845,0.1981
Ц,24014,0.1772
Ф,21883,0.1615
Х,20883,0.1541
Ю,9693,0.0715
Щ,6269,0.0463
Ъ,1220,0.009
Ё,575,0.0042
