letter,frequency,percent
И,15634,12.4139
У,11704,9.2934
О,11201,8.894
А,9995,7.9364
Д,9438,7.4941
Л,8311,6.5992
Б,5081,4.0345
Е,5016,3.9829
ГЬ,4598,3.651
С,4371,3.4707
Р,4362,3.4636
Н,4351,3.4548
ЛЪ,3659,2.9054
В,3189,2.5322
К,2985,2.3702
ГЪ,2802,2.2249
М,2699,2.1431
Ч,2270,1.8025
Г,2169,1.7223
Ш,1647,1.3078
Т,1493,1.1855
Я,1339,1.0632
Х,1292,1.0259
Й,874,0.694
Ц,838,0.6654
ХЪ,765,0.6074
КЪ,630,0.5002
Ж,581,0.4613
Ӏ,572,0.4542
Щ,486,0.3859
З,436,0.3462
Э,384,0.3049
П,288,0.2287
КЬ,224,0.1779
Ё,80,0.0635
Ъ,57,0.0453
ХЬ,44,0.0349
Ф,36,0.0286
Ю,30,0.0238
Ь,3,0.0024
Ы,2,0.0016
ЛЬ,1,0.0008
ТӀ,1,0.0008
ЛӀ,1,0.0008
