letter,frequency,percent
а,4280248,17.71328235872954
и,1813722,7.505866460597529
у,1622659,6.715175625088481
л,1597732,6.612018287159451
е,1393513,5.76688295621195
б,1255948,5.19758704446136
н,1251837,5.18057417423124
р,1196271,4.9506210856379695
о,971673,4.0211497579938795
д,883160,3.65484954328244
с,609938,2.52415374420332
г,606437,2.5096652842968097
лъ,605441,2.5055434602274302
м,509530,2.1086275281814197
в,480489,1.9884449048895299
гь,463514,1.9181959454742201
з,461444,1.90962950388426
к,411247,1.70189536451636
я,378906,1.56805609521148
т,375823,1.55529747713329
гӀ,299851,1.2408966556487802
кӀ,228069,0.9438356362232
х,225214,0.9320205682331699
тӀ,222086,0.91907572316389
ц,211352,0.87465437822345
хӀ,202756,0.8390808845484101
къ,172349,0.71324523748265
хъ,168870,0.6988478218829001
ж,160952,0.66608014820688
чӀ,140510,0.58148343372278
й,131233,0.54309170491596
ч,129997,0.53797667022746
п,115526,0.47809020827170995
цӀ,109970,0.45509738243892994
кь,94576,0.39139119797711996
щ,82303,0.34060088994154003
гъ,76670,0.31728940903512
ш,74225,0.30717107585277
хь,59170,0.24486780139048003
ф,25925,0.10728743875356
э,25246,0.10447748037695
лӀ,24500,0.10139025070249
ю,13177,0.054531401367620004
