letter,frequency,percent
а,7257286,10.7935
б,1567568,2.3314
в,356040,0.5295
г,810222,1.2050
ғ,1072535,1.5951
д,1479151,2.1999
ҙ,1433549,2.1321
е,4378097,6.5114
ё,717,0.0011
ж,96284,0.1432
з,198615,0.2954
и,2616964,3.8921
й,1501457,2.2331
к,1887809,2.8077
ҡ,1559930,2.3200
л,3971742,5.9070
м,2030859,3.0204
н,4426641,6.5836
ң,717676,1.0674
о,1702990,2.5328
ө,1108372,1.6484
п,1055556,1.5699
р,4247437,6.3171
с,1734969,2.5804
ҫ,214054,0.3184
т,4068241,6.0506
у,1839310,2.7355
ү,877968,1.3058
ф,245379,0.3649
х,373368,0.5553
һ,1095138,1.6288
ц,125485,0.1866
ч,44190,0.0657
ш,1247330,1.8551
щ,6904,0.0103
ъ,25478,0.0379
ы,4381841,6.5170
ь,135986,0.2022
э,176709,0.2628
ә,4550610,6.7680
ю,97927,0.1456
я,519131,0.7721
