letter,frequency,percent
А,166039165,16.1892
Н,71691159,6.9901
І,51229630,4.995
Ы,49177250,4.7949
Р,46282644,4.5127
Е,42341513,4.1284
К,41894051,4.0848
Т,39341144,3.8359
С,38945822,3.7973
Л,36138055,3.5236
Д,35159185,3.4281
Я,35112261,3.4235
О,33943721,3.3096
М,33335343,3.2503
В,31789572,3.0996
П,30960212,3.0187
Ц,30664303,2.9898
З,28580327,2.7867
У,28407768,2.7698
Г,19826192,1.9331
Ў,19088020,1.8611
Б,16931951,1.6509
Э,15938966,1.5541
Ь,15796938,1.5402
Ч,14181706,1.3828
Ш,10515025,1.0252
Й,10309535,1.0052
Х,9628926,0.9388
Ю,7650096,0.7459
Ж,7231185,0.7051
Ф,3785538,0.3691
Ё,3697066,0.3605
