letter,frequency,percent
А,4979886,15.2788
Э,3497809,10.7317
Н,2396777,7.3536
О,1956308,6.0022
Р,1729181,5.3053
Д,1646835,5.0527
Г,1589088,4.8755
Х,1411150,4.3296
Л,1382478,4.2416
У,1273527,3.9073
Б,1188286,3.6458
Т,1075110,3.2986
Й,1022365,3.1367
И,1015110,3.1145
Ү,929384,2.8515
М,688345,2.1119
Һ,600054,1.841
Ш,591458,1.8147
С,540660,1.6588
Е,536954,1.6474
Ж,451589,1.3855
Ы,329972,1.0124
З,313870,0.963
Ө,295748,0.9074
Ь,255534,0.784
Я,240380,0.7375
Ю,138348,0.4245
В,132350,0.4061
К,129893,0.3985
П,79932,0.2452
Ё,77651,0.2382
Ч,39198,0.1203
Ц,30632,0.094
Ф,22658,0.0695
Щ,3876,0.0119
Ъ,945,0.0029
