letter,frequency,percent
О,1317965,10.4432
А,991209,7.8541
Н,773029,6.1253
Е,764023,6.0539
Т,721695,5.7185
И,719153,5.6984
С,641432,5.0826
Ъ,634259,5.0257
Л,578783,4.5861
В,554340,4.3925
Р,511816,4.0555
К,398395,3.1568
М,381839,3.0256
Д,374894,2.9706
У,346808,2.748
П,316959,2.5115
Я,275498,2.183
Ь,251361,1.9917
Ѣ,251335,1.9915
Г,219172,1.7367
Ы,216055,1.712
Б,215136,1.7047
З,203589,1.6132
Ч,190368,1.5084
Ж,127923,1.0136
Й,127401,1.0095
Ш,106366,0.8428
Х,101186,0.8018
І,90466,0.7168
Ю,89781,0.7114
Ц,43007,0.3408
Щ,37927,0.3005
Э,30513,0.2418
Ф,12093,0.0958
Ѳ,3066,0.0243
Ё,769,0.0061
Ѵ,37,0.0003
