letter,frequency,percent
А,17380530,11.543
Н,12136503,8.060
Е,11186118,7.429
Р,10056245,6.679
Т,9923516,6.591
Ӑ,8442959,5.607
Л,8437046,5.603
Ӗ,8207116,5.451
С,6574426,4.366
И,6419579,4.264
К,5951386,3.953
П,5825675,3.869
У,5744560,3.815
М,5294698,3.516
Ҫ,4893698,3.250
Х,4573845,3.038
В,3729349,2.477
Ч,3136275,2.083
Ш,2629873,1.747
Й,1748363,1.161
О,1655624,1.100
Ы,1593284,1.058
Ь,809449,0.538
Я,803745,0.534
Д,540323,0.359
Ӳ,526685,0.350
Ю,459010,0.305
Э,383508,0.255
Г,348129,0.231
Б,315798,0.210
З,234247,0.156
Ц,228673,0.152
Ф,220021,0.146
Ж,89838,0.060
Щ,27645,0.018
Ё,23805,0.016
Ъ,16997,0.011
