Прописная,Код прописной,Строчная,Код строчной
А,U+0410,а,U+0430
Ӑ,U+04D0,ӑ,U+04D1
Б,U+0411,б,U+0431
В,U+0412,в,U+0432
Г,U+0413,г,U+0433
Д,U+0414,д,U+0434
Е,U+0415,е,U+0435
Ӗ,U+04D6,ӗ,U+04D7
Ё,U+0401,ё,U+0451
Ж,U+0416,ж,U+0436
З,U+0417,з,U+0437
И,U+0418,и,U+0438
Й,U+0419,й,U+0439
К,U+041A,к,U+043A
Л,U+041B,л,U+043B
М,U+041C,м,U+043C
Н,U+041D,н,U+043D
О,U+041E,о,U+043E
П,U+041F,п,U+043F
Р,U+0420,р,U+0440
С,U+0421,с,U+0441
Ҫ,U+04AA,ҫ,U+04AB
Т,U+0422,т,U+0442
У,U+0423,у,U+0443
Ӳ,U+04F2,ӳ,U+04F3
Ф,U+0424,ф,U+0444
Х,U+0425,х,U+0445
Ц,U+0426,ц,U+0446
Ч,U+0427,ч,U+0447
Ш,U+0428,ш,U+0448
Щ,U+0429,щ,U+0449
Ъ,U+042A,ъ,U+044A
Ы,U+042B,ы,U+044B
Ь,U+042C,ь,U+044C
Э,U+042D,э,U+044D
Ю,U+042E,ю,U+044E
Я,U+042F,я,U+044F
