letter,frequency,percent
А,365402,12.0863
Е,260839,8.6277
И,229144,7.5793
Н,222301,7.353
Р,181217,5.994
Ы,179838,5.9484
Л,169840,5.6177
Т,127673,4.223
Д,126324,4.1784
М,103640,3.4281
С,92531,3.0606
К,91351,3.0216
КЪ,88224,2.9182
О,86640,2.8658
Б,76242,2.5218
У,69755,2.3073
Ш,48786,1.6137
З,47918,1.585
П,44622,1.4759
НЪ,43486,1.4384
Й,42306,1.3993
В,38465,1.2723
Ч,36673,1.213
Ю,36084,1.1935
ГЪ,34986,1.1572
Э,33573,1.1105
Я,29808,0.9859
Ь,29599,0.979
Г,29436,0.9736
ДЖ,20973,0.6937
Ф,12883,0.4261
Х,12254,0.4053
Ё,8306,0.2747
Ц,1093,0.0362
Ж,637,0.0211
Ъ,379,0.0125
Щ,54,0.0018
