letter,frequency,percent
А,2859348,15.7367
И,2644191,14.5526
Л,1576894,8.6786
Р,1249661,6.8777
У,1044000,5.7458
Б,922500,5.0771
Н,729917,4.0172
С,722736,3.9777
Е,712545,3.9216
Д,670314,3.6891
Т,551481,3.0351
М,396696,2.1833
Я,354828,1.9528
ХӀ,306419,1.6864
Ч,292215,1.6082
З,286646,1.5776
К,284456,1.5655
В,266933,1.4691
Ш,234549,1.2909
О,197964,1.0895
ХЪ,175114,0.9638
Й,153777,0.8463
ГӀ,148879,0.8194
Х,148243,0.8159
Г,145896,0.803
ГЬ,134104,0.7381
П,123480,0.6796
КӀ,118356,0.6514
КЬ,117968,0.6493
Ц,105847,0.5825
ГЪ,87161,0.4797
Ь,71795,0.3951
Ж,65009,0.3578
КЪ,63850,0.3514
ТӀ,47553,0.2617
ЦӀ,45384,0.2498
Ъ,24445,0.1345
Э,21058,0.1159
Ф,19060,0.1049
ЧӀ,14949,0.0823
Ы,14022,0.0772
Ю,13999,0.077
Щ,3602,0.0198
ПӀ,1784,0.0098
Ү,133,0.0007
Ё,119,0.0007
