letter,frequency,percent
А,2859348,15.7659
И,2644191,14.5795
Л,1576894,8.6947
Р,1249661,6.8904
У,1044000,5.7564
Б,922500,5.0865
Н,729917,4.0246
С,722736,3.985
Е,712545,3.9288
Д,670314,3.696
Т,551480,3.0407
М,396696,2.1873
Я,354828,1.9564
ХӀ,306436,1.6896
Ч,292215,1.6112
З,286646,1.5805
К,284453,1.5684
В,266933,1.4718
Ш,234549,1.2933
О,197964,1.0915
Хъ,175114,0.9655
Й,153777,0.8479
ГӀ,148880,0.8209
Г,145895,0.8044
Гь,134104,0.7394
П,123480,0.6808
КӀ,118359,0.6526
Кь,117968,0.6505
Х,114817,0.6331
Ц,105847,0.5836
Гъ,87161,0.4806
Ж,65009,0.3584
Къ,63850,0.3521
ТӀ,47554,0.2622
ЦӀ,45384,0.2502
Ь,38386,0.2117
Хь,33409,0.1842
Ъ,24445,0.1348
Э,21058,0.1161
Ф,19060,0.1051
ЧӀ,14949,0.0824
Ы,14022,0.0773
Ю,13999,0.0772
Щ,3602,0.0199
ПӀ,1784,0.0098
Ё,119,0.0007
