letter,frequency,percent
А,4955,11.6129
И,4313,10.1083
Т,3396,7.9591
Э,3325,7.7927
Н,3134,7.3451
Р,2953,6.9209
К,2082,4.8795
Ы,1948,4.5655
Л,1874,4.3921
О,1862,4.3639
У,1727,4.0475
Г,1710,4.0077
Б,1470,3.4452
Һ,1290,3.0233
Ү,1044,2.4468
С,907,2.1257
Ө,814,1.9078
Д,747,1.7507
М,660,1.5468
Ӈ,597,1.3992
Й,471,1.1039
П,347,0.8133
Е,235,0.5508
Ч,227,0.532
Ь,213,0.4992
В,103,0.2414
Я,70,0.1641
Х,65,0.1523
Ф,51,0.1195
З,34,0.0797
Ц,20,0.0469
Ш,8,0.0187
Щ,6,0.0141
Ж,4,0.0094
Ё,3,0.007
Ю,2,0.0047
Ъ,1,0.0023
