letter,frequency,percent
А,80756,25.2989
О,17840,5.5888
Р,17330,5.4291
Л,16442,5.1509
Е,14980,4.6929
Н,14198,4.4479
И,13725,4.2997
Д,11788,3.6929
Т,10170,3.186
Х,9853,3.0867
Ш,9093,2.8486
С,8248,2.5839
У,8114,2.5419
В,8087,2.5335
Г,7998,2.5056
Й,7716,2.4172
ХЬ,6162,1.9304
М,6140,1.9235
К,5794,1.8151
Б,5648,1.7694
АЬ,5362,1.6798
З,5311,1.6638
Ӏ,4201,1.3161
ГӀ,3773,1.182
КХ,3705,1.1607
КЪ,2134,0.6685
ТӀ,2061,0.6457
П,1897,0.5943
Я,1869,0.5855
ХӀ,1670,0.5232
Ж,1323,0.4145
Ю,1004,0.3145
ЦӀ,837,0.2622
Ь,711,0.2227
Э,637,0.1996
Ф,572,0.1792
ЧӀ,508,0.1591
КӀ,455,0.1425
ЯЬ,399,0.125
Ы,330,0.1034
Ъ,315,0.0987
ПӀ,30,0.0094
Щ,21,0.0066
