letter,frequency,percent
А,231174040,12.586
Ы,141180687,7.6864
Е,140452593,7.6468
Н,120335897,6.5516
Т,112665642,6.134
Р,103742045,5.6481
І,98554528,5.3657
Л,95080618,5.1766
Д,79432840,4.3246
С,76437464,4.1616
Қ,62176841,3.3852
М,60846574,3.3127
К,51890807,2.8251
О,47979747,2.6122
Б,45596385,2.4824
У,36724804,1.9994
Ж,31960943,1.7401
И,29203709,1.59
З,28964850,1.577
Ғ,28130924,1.5316
П,27568911,1.501
Ң,26962983,1.468
Й,25494814,1.388
Ш,22627289,1.2319
Г,21789515,1.1863
Ә,16378946,0.8917
Ұ,16267327,0.8857
Ө,15968715,0.8694
Ү,13675267,0.7445
Я,7239998,0.3942
В,5078742,0.2765
Х,4877578,0.2656
Ф,2813648,0.1532
Ц,2669863,0.1454
Э,1713009,0.0933
Ь,1304564,0.071
Ю,836034,0.0455
Ч,513532,0.028
Ъ,195425,0.0106
Һ,162692,0.0089
Щ,70347,0.0038
Ё,10789,0.0006
