letter,frequency,percent
Э,9799933,15.433065
Ы,4896589,7.711214
У,4735589,7.457669
А,4431374,6.978587
Р,3439392,5.416400
М,3201249,5.041370
И,2807015,4.420525
Х,2159110,3.400195
Н,1981751,3.120888
З,1723503,2.714195
Т,1678997,2.644107
Д,1645573,2.591470
Щ,1602669,2.523904
Е,1510873,2.379343
С,1496979,2.357462
КЪ,1475034,2.322903
ГЪ,1361226,2.143677
П,1238454,1.950334
Б,1211663,1.908143
КІ,1113341,1.753304
Л,865145,1.362442
О,855526,1.347294
ЩӀ,842703,1.327100
Ж,730137,1.149829
ЛЪ,721255,1.135842
ХЬ,625433,0.984940
Г,602484,0.948800
Ӏ,596655,0.939620
К,589789,0.928808
ХЪ,501690,0.790068
Й,411283,0.647694
Я,396562,0.624511
Ш,365940,0.576287
В,338310,0.532775
ЖЬ,308405,0.485680
Ф,282551,0.444965
ФӀ,171354,0.269851
ЦӀ,160374,0.252559
ПӀ,145849,0.229685
ТӀ,126338,0.198959
ЛӀ,116893,0.184085
Ч,103990,0.163765
Ц,84404,0.132921
Ю,35578,0.056029
