letter,frequency,percent
А,31520959,13.0528
Н,18983553,7.8611
К,15184664,6.288
Т,14333561,5.9355
Р,14065482,5.8245
Ы,13732309,5.6865
Е,12464009,5.1613
И,12326108,5.1042
Л,12247193,5.0716
У,10517303,4.3552
Д,10129721,4.1947
О,9342308,3.8686
М,7366478,3.0505
Б,6830627,2.8286
Г,6729438,2.7867
С,6241736,2.5847
Ү,6027013,2.4958
Ө,4852740,2.0095
Ш,4035417,1.6711
Ж,3875019,1.6046
П,3793546,1.5709
Й,3578729,1.4819
Ч,3304102,1.3682
З,3193654,1.3225
Э,1655463,0.6855
Я,1369976,0.5673
В,1318901,0.5462
Ң,642998,0.2663
Ю,561412,0.2325
Ц,480280,0.1989
Ф,349977,0.1449
Х,205627,0.0852
Ь,196155,0.0812
Ё,17017,0.007
Ъ,10426,0.0043
Щ,4021,0.0017
