letter,frequency,percent
А,331703,13.8088
Н,172724,7.1905
Р,160959,6.7007
Е,140093,5.8321
О,129102,5.3745
Ы,126546,5.2681
Т,124673,5.1901
Л,112602,4.6876
С,109033,4.539
И,107769,4.4864
І,104275,4.341
П,86850,3.6156
Д,68907,2.8686
К,68680,2.8592
Х,62413,2.5983
Ч,60156,2.5043
З,51749,2.1543
М,48729,2.0286
У,45352,1.888
Ғ,40313,1.6782
Ң,35197,1.4653
В,34131,1.4209
Б,30860,1.2847
Г,30579,1.273
Й,27330,1.1377
Я,15289,0.6365
Ӧ,13973,0.5817
Ӱ,13267,0.5523
Ь,12454,0.5185
Ш,7621,0.3173
Ж,7291,0.3035
Ӌ,4586,0.1909
Ю,3979,0.1656
Ц,3290,0.137
Э,2837,0.1181
Ф,2757,0.1148
Ё,1925,0.0801
Щ,1917,0.0798
Ъ,201,0.0084
