letter,frequency,percent
С,1005517,8.3897
Ӧ,941507,7.8557
А,870921,7.2667
Н,801812,6.6901
Т,740219,6.1762
Ы,670412,5.5937
К,579971,4.8391
О,568181,4.7407
И,538430,4.4925
Д,475604,3.9683
Л,459056,3.8302
Р,433105,3.6137
М,411099,3.4301
Е,391906,3.2699
В,378936,3.1617
Ь,314650,2.6253
З,304357,2.5395
У,251647,2.0997
І,245928,2.0520
П,205083,1.7112
Э,178618,1.4903
Ч,178599,1.4902
Я,172576,1.4399
Б,169525,1.4145
Й,157539,1.3145
Ш,151525,1.2643
Г,146853,1.2253
Ж,124464,1.0385
Ё,36042,0.3007
Ю,35469,0.2959
Х,19532,0.1630
Ц,11464,0.0957
Ф,10678,0.0891
Щ,2408,0.0201
Ъ,1450,0.0121
