letter,frequency,percent
А,6863,17.57085
И,3105,7.94951
Е,2398,6.13943
Л,2325,5.95253
Р,2084,5.33552
Б,2036,5.21263
О,1760,4.50600
Д,1703,4.36007
У,1605,4.10917
Н,1417,3.62785
В,1385,3.54592
К,1249,3.19773
М,1203,3.07996
Г,934,2.39125
ЛЪ,912,2.33493
ГЬ,904,2.31445
С,883,2.26068
Х,880,2.25300
Я,745,1.90737
Т,702,1.79728
Й,611,1.56430
Ч,542,1.38764
Ц,406,1.03945
КЬ,353,0.90376
Ш,340,0.87048
КЪ,289,0.73991
З,248,0.63494
ГЪ,164,0.41988
П,163,0.41732
ХЪ,159,0.40708
Ж,150,0.38403
Щ,131,0.33539
Ь,102,0.26114
ХЬ,92,0.23554
Ы,71,0.18178
Ф,46,0.11777
Э,41,0.10497
Ю,37,0.09473
Ъ,14,0.03584
Ё,7,0.01792
