letter,frequency,percent
А,298975,14.81870
Л,165236,8.18993
Н,155295,7.69720
И,136133,6.74743
Р,120981,5.99643
Ы,117490,5.82339
Е,96833,4.79953
Д,92529,4.58620
Т,77972,3.86468
О,67237,3.33260
Б,66692,3.30559
С,59766,2.96230
У,57659,2.85787
К,56675,2.80910
М,53769,2.66506
Қ,32313,1.60159
Ю,32086,1.59034
Ғ,29405,1.45746
Г,28578,1.41647
Ч,26838,1.33023
Ш,24394,1.20909
Ў,23594,1.16944
Й,22079,1.09435
Җ,21901,1.08552
Я,20991,1.04042
З,20507,1.01643
П,18005,0.89242
В,16092,0.79760
Э,15922,0.78917
Х,15733,0.77981
Ф,9351,0.46348
Ң,9128,0.45243
Ё,9020,0.44708
Ц,8922,0.44222
Ь,6335,0.31399
Ж,2762,0.13690
Ъ,204,0.01011
Щ,150,0.00743
