letter,frequency,percent
А,2044982,17.7139
У,1286109,11.1404
Л,914747,7.9236
Н,891920,7.7259
И,875273,7.5817
Р,722431,6.2578
В,469070,4.0631
Д,311573,2.6989
М,302053,2.6164
Б,279787,2.4235
Й,264631,2.2923
Т,260561,2.257
СС,242560,2.1011
Я,184248,1.596
К,178832,1.5491
С,178294,1.5444
Е,141054,1.2218
О,138610,1.2007
Ш,131426,1.1384
Г,130005,1.1261
З,99733,0.8639
Ч,97127,0.8413
ТТ,96880,0.8392
Ц,83359,0.7221
КІ,81703,0.7077
ЧІ,78125,0.6767
Х,75020,0.6498
ХЪ,74108,0.6419
П,72783,0.6305
ГЬ,70836,0.6136
КЪ,67848,0.5877
ХІ,64420,0.558
ТІ,57335,0.4966
Ж,56020,0.4853
КЬ,54984,0.4763
ХЬ,54511,0.4722
ЦІ,42628,0.3692
ХХ,41287,0.3576
КК,40662,0.3522
Щ,37356,0.3236
ГЪ,35539,0.3078
АЬ,35202,0.3049
Ь,28739,0.2489
Ю,22874,0.1981
ОЬ,22343,0.1935
ЧЧ,16852,0.146
І,16619,0.144
Ф,15257,0.1322
ХЬХЬ,13880,0.1202
Ъ,12814,0.111
Э,10385,0.09
ПП,8937,0.0774
Ы,7488,0.0649
ЦЦ,1547,0.0134
ПІ,1008,0.0087
Ё,149,0.0013
