letter,frequency,percent
А,160120,15.9201
И,109108,10.8482
Н,73850,7.3426
Р,65464,6.5088
Д,54538,5.4225
Л,50472,5.0182
В,44896,4.4638
У,43329,4.3080
Е,41172,4.0936
Т,32146,3.1962
Й,31769,3.1587
З,29682,2.9512
М,26909,2.6755
С,24827,2.4685
К,24408,2.4268
ГЬ,15085,1.4998
Б,13824,1.3745
Я,12748,1.2675
Г,12705,1.2632
Ч,12348,1.2277
Х,12014,1.1945
О,11767,1.1699
Ш,10807,1.0745
КЬ,9681,0.9625
КЪ,9527,0.9472
УЬ,9473,0.9419
П,9362,0.9308
Ж,7171,0.7130
Ф,6791,0.6752
ГЪ,6075,0.6040
КӀ,5818,0.5785
ТӀ,4172,0.4148
ХЬ,4064,0.4041
Э,3373,0.3354
Ц,3151,0.3133
ХЪ,3078,0.3060
Ь,2589,0.2574
ЧӀ,2480,0.2466
Ю,1420,0.1412
Ъ,1326,0.1318
ЦӀ,1252,0.1245
Ы,681,0.0677
ПӀ,150,0.0149
Щ,150,0.0149
