letter,frequency,percent
А,707164,10.9187
Н,538618,8.3164
О,494814,7.64
С,462359,7.1389
Т,441842,6.8221
Е,429282,6.6282
Ь,375446,5.797
И,349971,5.4036
К,315837,4.8766
Р,275386,4.252
Л,234183,3.6158
М,232388,3.5881
Я,213430,3.2954
В,191518,2.9571
Д,179248,2.7676
З,117574,1.8154
П,111638,1.7237
У,109412,1.6893
Й,95067,1.4679
Ф,85967,1.3273
Ц,80876,1.2487
Ш,74878,1.1561
Г,71168,1.0988
Б,60423,0.9329
Х,53399,0.8245
Ч,40067,0.6186
Э,37177,0.574
Ы,27116,0.4187
Ж,24293,0.3751
Ю,19459,0.3005
Ё,12111,0.187
Щ,8815,0.1361
Ъ,5678,0.0877
