letter,frequency,percent
А,11425331,10.5893
Ы,9337641,8.6544
Е,8708028,8.0709
Н,7366051,6.8271
Т,7180315,6.6549
Ш,6330189,5.867
Л,6260924,5.8028
К,6256182,5.7984
О,6190304,5.7374
М,5882596,5.4522
Р,4141931,3.8389
У,3309398,3.0673
И,2975466,2.7578
Д,2875584,2.6652
Й,2310411,2.1414
В,2301357,2.133
Ч,2208250,2.0467
Г,2088291,1.9355
П,2067844,1.9165
С,1909168,1.7695
Ж,1480898,1.3725
Ӱ,1161593,1.0766
Ӧ,681706,0.6318
З,660422,0.6121
Я,610608,0.5659
Ҥ,530181,0.4914
Э,440013,0.4078
Ь,380442,0.3526
Б,289030,0.2679
Ю,130614,0.1211
Ф,115484,0.107
Х,108849,0.1009
Ц,107672,0.0998
Ё,24716,0.0229
Ъ,24428,0.0226
Щ,18925,0.0175
Ӓ,2245,0.0021
Ӹ,1493,0.0014
