letter,frequency,percent
Н,411145,7.0956
А,405834,7.0039
Ӹ,400604,6.9137
Т,365796,6.3129
Л,359646,6.2068
Ы,342167,5.9051
Ш,323894,5.5898
Е,309762,5.3459
К,306263,5.2855
Ӓ,283522,4.893
М,276000,4.7632
О,248381,4.2866
Р,226771,3.9136
И,226258,3.9048
Д,181620,3.1344
В,165293,2.8526
П,121370,2.0946
С,119889,2.0691
Г,115521,1.9937
У,94962,1.6389
Ж,82963,1.4318
Й,65861,1.1366
Ь,52049,0.8983
Ц,50986,0.8799
Я,42996,0.742
Ч,40119,0.6924
З,38154,0.6585
Х,34731,0.5994
Э,32762,0.5654
Ӱ,19676,0.3396
Б,17645,0.3045
Ф,12490,0.2156
Ӧ,10070,0.1738
Ю,6471,0.1117
Ё,1547,0.0267
Щ,935,0.0161
Ъ,231,0.004
