letter,frequency,percent
А,1773332,8.4928
Е,1770868,8.481
О,1711085,8.1947
Н,1652451,7.9139
Т,1540836,7.3794
С,1487676,7.1248
Ь,1210304,5.7964
К,1103079,5.2829
И,964046,4.617
Р,894772,4.2852
В,851581,4.0784
М,791519,3.7907
Л,732595,3.5085
Д,584041,2.7971
Я,535804,2.5661
З,442795,2.1206
П,388304,1.8597
Э,387646,1.8565
У,367517,1.7601
Ы,261494,1.2523
Й,219949,1.0534
Ш,216882,1.0387
Г,200180,0.9587
Ч,182294,0.873
Ц,136387,0.6532
Б,134005,0.6418
Ж,89356,0.4279
Ю,67878,0.3251
Ё,67499,0.3233
Х,51676,0.2475
Ф,38132,0.1826
Щ,16074,0.077
Ъ,8262,0.0396
