letter,frequency,percent
А,477078,12.609
Е,269115,7.1126
Л,257322,6.8009
Ы,255112,6.7425
И,254881,6.7364
Н,253873,6.7098
Р,224020,5.9208
К,188057,4.9703
Т,166526,4.4012
Д,161551,4.2697
С,152945,4.0423
О,134994,3.5678
М,124502,3.2905
Г,108609,2.8705
Б,96920,2.5616
Й,92035,2.4325
В,71792,1.8974
З,62799,1.6598
П,59794,1.5803
У,58561,1.5477
Ш,54978,1.453
НЪ,47271,1.2494
Я,42817,1.1316
Э,30265,0.7999
ОЬ,29613,0.7827
УЬ,29079,0.7685
АЬ,19668,0.5198
Х,13690,0.3618
Ь,8913,0.2356
Ж,8522,0.2252
Ю,8130,0.2149
Ц,6509,0.172
Ф,6075,0.1606
Ч,5219,0.1379
Ъ,1287,0.034
Щ,916,0.0242
Ё,190,0.005
