letter;frequency;percent
Æ;17078;16.5432
Ы;9607;9.3061
А;7482;7.2477
Д;7056;6.8350
Н;6190;5.9961
У;5473;5.3016
Т;5253;5.0885
Р;5111;4.9509
М;4415;4.2767
С;4200;4.0685
Й;3442;3.3342
Х;3436;3.3284
Г;3006;2.9119
З;2716;2.6309
И;2616;2.5341
О;2345;2.2716
К;2297;2.2251
Л;2143;2.0759
Ц;1854;1.7959
Ъ;1764;1.7088
Ф;1720;1.6661
Б;1686;1.6332
В;603;0.5841
П;491;0.4756
Е;435;0.4214
Ж;418;0.4049
Ч;362;0.3507
Ь;27;0.0262
Я;2;0.0019
Ш;2;0.0019
Ю;2;0.0019
Э;1;0.0010
Щ;0;0.0000
Ё;0;0.0000
