letter,frequency,percent
А,65884,9.8446
О,54955,8.2116
Р,49931,7.4609
Н,49104,7.3373
И,44926,6.713
Э,43009,6.4265
С,39453,5.8952
К,35015,5.2321
Т,29348,4.3853
Л,25347,3.7874
Д,25196,3.7649
П,23153,3.4596
Ы,20773,3.104
В,19438,2.9045
Е,19092,2.8528
Я,14329,2.1411
М,13458,2.0109
У,13368,1.9975
Б,12544,1.8744
Г,9814,1.4664
З,9329,1.394
Х,8921,1.333
Ч,7890,1.1789
Ш,7316,1.0932
Ь,6013,0.8985
Ё,5509,0.8232
Ц,5021,0.7503
Ж,4853,0.7252
Ю,1883,0.2814
Ф,1841,0.2751
Й,1602,0.2394
Ґ,639,0.0955
Щ,243,0.0363
Ъ,43,0.0064
