letter,frequency,percent
Е,903567,10.5191
А,741948,8.6376
И,678348,7.8971
Р,632594,7.3645
Т,566051,6.5898
Н,554818,6.459
У,504496,5.8732
Л,453798,5.283
О,423224,4.9271
С,353340,4.1135
К,346994,4.0396
Д,292115,3.4007
Э,286835,3.3393
П,269510,3.1376
М,244326,2.8444
Й,158553,1.8458
Ы,154139,1.7944
В,120367,1.4013
Ш,117264,1.3652
Ч,116536,1.3567
Я,110160,1.2825
Ц,105230,1.2251
Ф,91158,1.0612
Б,90486,1.0534
Ь,83427,0.9712
З,66552,0.7748
Г,59447,0.6921
Ж,25754,0.2998
Х,15015,0.1748
Ӂ,13846,0.1612
Ю,5224,0.0608
Щ,3488,0.0406
Ъ,1074,0.0125
Ё,109,0.0013
