letter,frequency,percent
А,5740,15.5957
И,3082,8.3739
Р,2897,7.8712
Ы,2836,7.7055
Д,1961,5.3281
Е,1526,4.1462
Х,1480,4.0212
У,1372,3.7278
Ь,1254,3.4071
Г,1244,3.38
Л,1228,3.3365
В,1148,3.1191
Н,1075,2.9208
Й,1050,2.8529
Ъ,970,2.6355
С,916,2.4888
М,817,2.2198
З,762,2.0704
К,726,1.9726
Б,719,1.9535
Ш,670,1.8204
ГЪ,538,1.4618
КЬ,453,1.2308
Т,394,1.0705
Ч,230,0.6249
АӀ,227,0.6168
ЧӀ,170,0.4619
ТӀ,165,0.4483
ЫӀ,163,0.4429
П,147,0.3994
КЪ,142,0.3858
ДЖ,132,0.3586
О,125,0.3396
КӀ,123,0.3342
ЦӀ,95,0.2581
УӀ,90,0.2445
Ф,34,0.0924
ПӀ,26,0.0706
Я,26,0.0706
Ц,19,0.0516
Э,19,0.0516
ДЗ,5,0.0136
Ю,4,0.0109
Ж,4,0.0109
Ё,1,0.0027
