letter,frequency,percent
А,30078015,13.062
Т,16622149,7.2185
Н,16499750,7.1653
Р,15741863,6.8362
И,15174757,6.5899
Э,15146391,6.5776
Ы,12509868,5.4327
Л,12011627,5.2163
О,11870803,5.1551
У,11177159,4.8539
С,9275179,4.0279
К,8025979,3.4854
Б,7434116,3.2284
Х,5132004,2.2287
Ү,4668626,2.0274
Д,4147825,1.8013
М,4056007,1.7614
Й,3823655,1.6605
Г,3774079,1.639
Ө,3133935,1.361
Е,3034680,1.3179
Һ,2787130,1.2104
П,2602975,1.1304
Ҕ,1941006,0.8429
Ч,1887668,0.8198
В,1834175,0.7965
Ҥ,1290129,0.5603
ДЬ,1101685,0.4784
Я,713437,0.3098
Ь,649393,0.282
З,482644,0.2096
НЬ,369145,0.1603
Ф,307713,0.1336
Ц,297436,0.1292
Ш,222805,0.0968
Ж,194516,0.0845
Ю,153605,0.0667
Щ,66546,0.0289
Ё,19895,0.0086
Ъ,11468,0.005
