letter,frequency,percent
А,467276,14.3235
И,393009,12.047
Р,237202,7.271
Н,230123,7.054
У,208976,6.4058
Д,140662,4.3117
Л,132804,4.0709
В,104038,3.1891
Т,103992,3.1877
Е,96832,2.9682
Й,91852,2.8156
С,91436,2.8028
М,89226,2.7351
К,82315,2.5232
Б,79466,2.4359
О,79335,2.4319
З,58151,1.7825
ГЪ,57800,1.7718
Я,49875,1.5288
Ш,46152,1.4147
П,42833,1.313
Х,37106,1.1374
ГЬ,33909,1.0394
Г,28244,0.8658
Ч,24271,0.744
Ъ,24202,0.7419
Ю,23649,0.7249
Ж,23160,0.7099
ХЬ,20742,0.6358
ПӀ,19143,0.5868
Ӏ,19117,0.586
Ф,16632,0.5098
ХЪ,15878,0.4867
КЬ,15597,0.4781
Ц,12343,0.3784
АЬ,11198,0.3433
КӀ,8606,0.2638
Ь,8166,0.2503
ТӀ,6695,0.2052
КЪ,5815,0.1782
Э,5253,0.161
Ы,5046,0.1547
УЬ,4843,0.1485
ЧӀ,3895,0.1194
ЦӀ,3827,0.1173
Щ,1194,0.0366
Ё,425,0.013
