letter;frequency;percent
А;77853006;11.0062
Е;51058033;7.2182
Н;50427169;7.129
Р;48230262;6.8184
Ә;47020803;6.6474
Л;46088817;6.5157
Ы;39058150;5.5217
Т;37409958;5.2887
К;35335087;4.9954
И;31391767;4.4379
Д;21586385;3.0517
М;21200345;2.9971
Г;20606143;2.9131
С;20044722;2.8338
Б;19795025;2.7985
У;18377619;2.5981
О;12701597;1.7956
Ш;12645447;1.7877
З;10503732;1.4849
Ч;10474504;1.4808
П;9850133;1.3925
Ү;8572880;1.212
Й;7681181;1.0859
Я;7676277;1.0852
Ң;7171855;1.0139
Ө;6398564;0.9046
В;5354413;0.757
Х;5109979;0.7224
Җ;3275573;0.4631
Ф;2895207;0.4093
Һ;2860449;0.4044
Ь;2848265;0.4027
Э;2070482;0.2927
Ю;1334497;0.1887
Ц;1174274;0.166
Ъ;773585;0.1094
Ж;458516;0.0648
Щ;40545;0.0057
