letter,frequency,percent
А,3312524,15.1968
И,2575618,11.8161
О,2043557,9.3752
Р,1454152,6.6712
Н,1291870,5.9267
Д,1240028,5.6889
М,1025610,4.7052
Т,1012035,4.6429
У,797700,3.6596
С,733117,3.3633
Б,707328,3.245
Ҳ,638606,2.9297
К,529120,2.4274
Л,519509,2.3833
В,492609,2.2599
З,450070,2.0648
Ш,429737,1.9715
Е,420837,1.9307
Г,246802,1.1323
Ҷ,235140,1.0787
Х,213908,0.9813
Ф,207438,0.9517
Ӣ,198224,0.9094
Қ,186654,0.8563
Я,172221,0.7901
Ӯ,119714,0.5492
П,116937,0.5365
Ъ,106535,0.4887
Ё,91427,0.4194
Й,76661,0.3517
Ч,57755,0.265
Ғ,45491,0.2087
Э,24716,0.1134
Ю,18821,0.0863
Ж,4993,0.0229
