letter,frequency,percent
А,2208,19.4795
И,1377,12.1482
Б,659,5.8139
У,597,5.2669
І,591,5.2139
ЛЪ,564,4.9757
К,500,4.4111
Р,430,3.7936
Л,373,3.2907
ГЬ,346,3.0525
В,341,3.0084
Е,299,2.6378
Т,239,2.1085
С,238,2.0997
М,230,2.0291
Н,228,2.0115
Ч,177,1.5615
Х,160,1.4116
А̄,146,1.288
Г,140,1.2351
О,125,1.1028
Ъ,124,1.094
Д,115,1.0146
ЦЦ,92,0.8116
Ь,88,0.7764
Иᴴ,78,0.6881
ХЪ,76,0.6705
Аᴴ,74,0.6528
Ц,74,0.6528
Е̄,73,0.644
ГЪ,68,0.5999
Щ,53,0.4676
З,53,0.4676
Ж,53,0.4676
ХХ,46,0.4058
П,44,0.3882
Э,39,0.3441
О̄,34,0.3
ЧЧ,32,0.2823
Уᴴ,31,0.2735
КК,30,0.2647
Ш,29,0.2558
ХЬ,26,0.2294
Й,13,0.1147
Ӣᴴ,10,0.0882
ДЖ,5,0.0441
ЛЛЪ,2,0.0176
Ф,2,0.0176
Еᴴ,2,0.0176
Оᴴ,1,0.0088
