letter;frequency;percent
А;1489400;13,0881
Р;900075;7,9094
Н;744674;6,5438
Ы;688284;6,0483
Е;660200;5,8015
Л;623910;5,4826
И;591890;5,2012
Д;500539;4,3985
Г;489443;4,3010
К;480693;4,2241
У;459492;4,0378
Т;428831;3,7684
О;409549;3,5989
Б;309765;2,7221
Ч;281607;2,4746
С;248305;2,1820
Э;247501;2,1749
Ү;241457;2,1218
П;207572;1,8240
М;192378;1,6905
Ң;187958;1,6517
Ш;185818;1,6329
З;161151;1,4161
Ж;124854;1,0972
Ө;117469;1,0323
Й;114310;1,0045
Х;113271;0,9954
В;85908;0,7549
Я;36388;0,3198
Ц;13253;0,1165
Ф;13129;0,1154
Ь;12408;0,1090
Ъ;8235;0,0724
Ю;5867;0,0516
Ё;3688;0,0324
Щ;530;0,0047
