letter,frequency,percent
С,786887,13.4287
Ы,743552,12.6896
О,736033,12.5599
А,731408,12.4815
Н,717127,12.2334
Т,596179,10.1719
Л,513949,8.7699
Е,490842,8.3757
Р,482460,8.2343
К,478464,8.1636
И,431999,7.3686
У,422607,7.2095
М,363540,6.2020
Ь,327533,5.5879
З,316355,5.3964
Э,263790,4.5003
Д,257303,4.3878
В,244691,4.1734
П,200836,3.4261
Ё,146699,2.5031
Г,148070,2.5266
Ш,117200,2.0000
Б,104816,1.7883
Ӥ,98133,1.6746
Ж,78567,1.3407
Ч,75370,1.2857
Й,67572,1.1532
Ӧ,52523,0.8962
Ю,44193,0.7541
Ӟ,23536,0.4016
Ӵ,21394,0.3651
Ц,21407,0.3653
Ф,19581,0.3341
Х,13637,0.2327
Щ,10045,0.1714
Ӝ,7090,0.1210
