letter,frequency,percent
О,36176347,9.412
А,32464292,8.4463
Н,27841537,7.2436
І,24095308,6.2689
Р,22046428,5.7358
И,20838793,5.4216
В,20212899,5.2588
Т,18251189,4.7484
Е,18033756,4.6919
С,17680325,4.5999
К,16298159,4.2403
Л,14441803,3.7573
У,13332439,3.4687
Д,12139900,3.1584
М,11592747,3.0161
П,10551877,2.7453
З,7776635,2.0233
Я,7555402,1.9657
Ь,7216563,1.8775
Г,6468911,1.683
Б,5834261,1.5179
Й,5154410,1.341
Ч,4513082,1.1742
Х,4096810,1.0659
Ц,3745153,0.9744
Ї,3432678,0.8931
Ж,2796592,0.7276
Ю,2679117,0.697
Ш,2477997,0.6447
Є,1753617,0.4562
Ф,1630005,0.4241
Щ,1113655,0.2897
Ґ,120426,0.0313
