letter,frequency,percent
А,25622599,14.6442
И,23898603,13.6589
Н,12199504,6.9724
Л,10837999,6.1943
Р,10432742,5.9627
О,8781115,5.0187
Т,7652198,4.3735
Д,6938068,3.9653
М,6059455,3.4632
Б,5672564,3.2421
Г,5648302,3.2282
У,5615589,3.2095
С,5409895,3.0919
К,5156428,2.9471
Е,3749126,2.1428
Қ,3739709,2.1374
Ш,3579578,2.0459
Ў,2756882,1.5757
В,2735611,1.5635
Й,2644739,1.5116
З,2568666,1.4681
Ҳ,1860647,1.0634
Ч,1854953,1.0602
П,1349398,0.7712
Я,1206139,0.6893
Х,1178610,0.6736
Ж,1078041,0.6161
Ф,1036988,0.5927
Э,907637,0.5187
Ё,829325,0.474
Ғ,680100,0.3887
Ъ,498507,0.2849
Ю,392582,0.2244
Ц,268530,0.1535
Ь,99897,0.0571
Щ,26961,0.0154
