letter,frequency,percent
Н,1415303,9.4796
А,1369637,9.1737
Р,951267,6.3715
Д,947747,6.3479
Ә,838519,5.6163
Л,783745,5.2495
Г,655296,4.3891
И,634543,4.2501
О,569997,3.8178
Т,561515,3.761
С,543001,3.637
К,499552,3.346
Х,483421,3.2379
Е,463839,3.1068
У,463228,3.1027
В,443078,2.9677
Ү,389437,2.6084
М,386777,2.5906
Б,367500,2.4615
Һ,302348,2.0251
Җ,237090,1.588
Ө,233828,1.5662
Ч,233132,1.5615
Ь,194289,1.3013
З,164867,1.1043
Э,143565,0.9616
Ш,140639,0.942
Ц,131287,0.8793
Й,131261,0.8792
Ң,73833,0.4945
Я,50999,0.3416
П,33931,0.2273
Ю,29168,0.1954
Ы,26828,0.1797
Ж,23650,0.1584
Ф,7405,0.0496
Щ,2040,0.0137
Ъ,2027,0.0136
Ё,437,0.0029
